geoid,No,Yes,tot,with,without
48201324200,570,585,1155,0.506,0.494
48439105902,447,335,782,0.428,0.572
48439105008,640,479,1119,0.428,0.572
48439105007,485,366,851,0.43,0.57
48439105514,408,278,686,0.405,0.595
48439105513,289,205,494,0.415,0.585
48027023106,364,500,864,0.579,0.421
48027022404,320,325,645,0.504,0.496
48027022501,161,225,386,0.583,0.417
48027022105,53,52,105,0.495,0.505
48027023105,262,307,569,0.54,0.46
48221160206,956,692,1648,0.42,0.58
48029171920,183,197,380,0.518,0.482
48029171913,116,139,255,0.545,0.455
48029171916,236,280,516,0.543,0.457
48029180101,480,680,1160,0.586,0.414
48029171302,189,270,459,0.588,0.412
48029171501,129,220,349,0.63,0.37
48029192000,658,790,1448,0.546,0.454
48029192200,410,628,1038,0.605,0.395
48029191506,195,255,450,0.567,0.433
48439113113,154,137,291,0.471,0.529
48439113634,293,317,610,0.52,0.48
48029110900,459,558,1017,0.549,0.451
48029110800,415,509,924,0.551,0.449
48439111018,307,199,506,0.393,0.607
48439111204,548,352,900,0.391,0.609
48439106517,702,525,1227,0.428,0.572
48121020112,175,155,330,0.47,0.53
48121020503,333,529,862,0.614,0.386
48121021201,389,446,835,0.534,0.466
48121021407,480,517,997,0.519,0.481
48121021725,165,256,421,0.608,0.392
48479000107,235,210,445,0.472,0.528
48479000106,286,276,562,0.491,0.509
48439111523,436,459,895,0.513,0.487
48439111524,527,459,986,0.466,0.534
48439111525,767,568,1335,0.425,0.575
48439111526,312,222,534,0.416,0.584
48439111529,256,200,456,0.439,0.561
48439111530,643,477,1120,0.426,0.574
48027023107,251,347,598,0.58,0.42
48027023108,476,745,1221,0.61,0.39
48027023201,148,195,343,0.569,0.431
48027022405,69,67,136,0.493,0.507
48029171914,121,148,269,0.55,0.45
48029171918,338,347,685,0.507,0.493
48029171925,325,312,637,0.49,0.51
48479980000,30,24,54,0.444,0.556
48479000601,421,276,697,0.396,0.604
48479000903,264,159,423,0.376,0.624
48479001807,182,233,415,0.561,0.439
48029181727,85,78,163,0.479,0.521
