geoid,No,Yes,tot,with,without
48201421000,383,343,726,0.472,0.528
48201432100,216,166,382,0.435,0.565
48201432200,254,216,470,0.46,0.54
48201432300,332,240,572,0.42,0.58
48201340100,390,347,737,0.471,0.529
48201521700,964,610,1574,0.388,0.612
48201521800,488,366,854,0.429,0.571
48201521900,267,256,523,0.489,0.511
48201522100,258,271,529,0.512,0.488
48201530100,317,230,547,0.42,0.58
48201530300,435,417,852,0.489,0.511
48061010602,93,92,185,0.497,0.503
48061010700,405,415,820,0.506,0.494
48201454900,266,219,485,0.452,0.548
48201455000,97,83,180,0.461,0.539
48201530400,273,196,469,0.418,0.582
48369950200,4041,1276,5317,0.24,0.76
48369950300,7026,1978,9004,0.22,0.78
48201530700,245,254,499,0.509,0.491
48201455200,505,373,878,0.425,0.575
48201455300,167,128,295,0.434,0.566
48231960800,955,750,1705,0.44,0.56
48231961100,1079,708,1787,0.396,0.604
48231961400,2375,955,3330,0.287,0.713
48231961600,1566,717,2283,0.314,0.686
48231960300,1287,727,2014,0.361,0.639
48231960900,859,664,1523,0.436,0.564
48007950400,706,767,1473,0.521,0.479
48007950100,1436,1848,3284,0.563,0.437
48007950200,229,264,493,0.535,0.465
48007950500,758,1147,1905,0.602,0.398
48007950300,1149,1186,2335,0.508,0.492
48009020200,3363,2878,6241,0.461,0.539
48009020300,2779,1999,4778,0.418,0.582
48009020100,564,332,896,0.371,0.629
48011950100,3557,949,4506,0.211,0.789
48201530800,396,402,798,0.504,0.496
48201531500,297,308,605,0.509,0.491
48201531600,276,311,587,0.53,0.47
48201531700,166,197,363,0.543,0.457
48201531800,81,98,179,0.547,0.453
48201531900,224,285,509,0.56,0.44
48201510100,493,485,978,0.496,0.504
48201510200,771,748,1519,0.492,0.508
48201510300,546,664,1210,0.549,0.451
48201510400,285,348,633,0.55,0.45
48201510500,295,320,615,0.52,0.48
48201510600,700,819,1519,0.539,0.461
48201532600,182,197,379,0.52,0.48
48201510800,691,811,1502,0.54,0.46
48061010800,600,823,1423,0.578,0.422
48201530900,165,208,373,0.558,0.442
48201531100,182,209,391,0.535,0.465
48201531300,223,203,426,0.477,0.523
48201531400,122,144,266,0.541,0.459
48201510900,667,670,1337,0.501,0.499
48489950500,738,2134,2872,0.743,0.257
48489950700,2339,3713,6052,0.614,0.386
48489950400,643,2083,2726,0.764,0.236
48489950600,456,1229,1685,0.729,0.271
48489950300,485,1678,2163,0.776,0.224
48419950300,430,277,707,0.392,0.608
48419950200,1020,665,1685,0.395,0.605
48029131700,668,990,1658,0.597,0.403
48029140100,244,254,498,0.51,0.49
48029140200,366,475,841,0.565,0.435
48029140300,311,337,648,0.52,0.48
48029140500,445,552,997,0.554,0.446
48029140700,515,672,1187,0.566,0.434
48029140800,439,486,925,0.525,0.475
48029140900,207,261,468,0.558,0.442
48029141000,232,244,476,0.513,0.487
48061011901,349,1185,1534,0.772,0.228
48419950600,1306,931,2237,0.416,0.584
48419950500,556,424,980,0.433,0.567
48419950100,966,871,1837,0.474,0.526
48419950400,1367,555,1922,0.289,0.711
48061010900,558,544,1102,0.494,0.506
48061011000,317,361,678,0.532,0.468
48061011100,340,370,710,0.521,0.479
48061011200,253,256,509,0.503,0.497
48061011301,147,162,309,0.524,0.476
48201532100,279,276,555,0.497,0.503
48201532300,446,327,773,0.423,0.577
48201532400,265,253,518,0.488,0.512
48245010300,327,285,612,0.466,0.534
48245010400,216,174,390,0.446,0.554
48155950100,2421,1560,3981,0.392,0.608
48029131200,179,172,351,0.49,0.51
48029141200,509,584,1093,0.534,0.466
48061011500,684,732,1416,0.517,0.483
48061011700,570,677,1247,0.543,0.457
48061011801,271,322,593,0.543,0.457
48061011802,147,183,330,0.555,0.445
48061011302,173,250,423,0.591,0.409
48201452900,157,161,318,0.506,0.494
48201453000,372,387,759,0.51,0.49
48201453100,104,103,207,0.498,0.502
48201530600,301,250,551,0.454,0.546
48245010600,349,303,652,0.465,0.535
48029131606,353,474,827,0.573,0.427
48201453300,379,232,611,0.38,0.62
48201511200,227,281,508,0.553,0.447
48201511500,862,1037,1899,0.546,0.454
48201511600,530,618,1148,0.538,0.462
48201520100,260,209,469,0.446,0.554
48029131300,478,550,1028,0.535,0.465
48245000900,354,273,627,0.435,0.565
48245002000,293,243,536,0.453,0.547
48245011600,1916,2202,4118,0.535,0.465
48201453700,393,406,799,0.508,0.492
48201453800,128,133,261,0.51,0.49
48201453900,355,362,717,0.505,0.495
48317950100,3419,1057,4476,0.236,0.764
48317950200,1953,824,2777,0.297,0.703
48245010100,205,158,363,0.435,0.565
48245011101,399,318,717,0.444,0.556
48245001303,402,384,786,0.489,0.511
48245006900,900,1006,1906,0.528,0.472
48245000103,110,112,222,0.505,0.495
48245011400,1395,1510,2905,0.52,0.48
48201454000,223,244,467,0.522,0.478
48309003602,1042,661,1703,0.388,0.612
48309003801,967,661,1628,0.406,0.594
48309001000,346,449,795,0.565,0.435
48309004102,534,380,914,0.416,0.584
48309003500,929,664,1593,0.417,0.583
48309003802,1785,1236,3021,0.409,0.591
48309002302,438,431,869,0.496,0.504
48309001800,452,428,880,0.486,0.514
48309003900,2343,1778,4121,0.431,0.569
48309002900,542,513,1055,0.486,0.514
48309003400,1022,800,1822,0.439,0.561
48309003601,1659,727,2386,0.305,0.695
48309001700,758,651,1409,0.462,0.538
48309003701,585,517,1102,0.469,0.531
48201520200,183,194,377,0.515,0.485
48201520500,903,684,1587,0.431,0.569
48201520700,202,234,436,0.537,0.463
48245001302,205,182,387,0.47,0.53
48245010800,972,935,1907,0.49,0.51
48245010901,301,249,550,0.453,0.547
48245010700,414,318,732,0.434,0.566
48201454100,155,165,320,0.516,0.484
48201454200,135,136,271,0.502,0.498
48245002400,338,261,599,0.436,0.564
48245000304,499,398,897,0.444,0.556
48245011500,567,455,1022,0.445,0.555
48245007100,437,372,809,0.46,0.54
48245000306,249,222,471,0.471,0.529
48201521000,199,173,372,0.465,0.535
48201521100,68,72,140,0.514,0.486
48201521200,184,186,370,0.503,0.497
48201521300,211,220,431,0.51,0.49
48201521400,186,172,358,0.48,0.52
48201521600,731,502,1233,0.407,0.593
48201454600,588,434,1022,0.425,0.575
48201454700,433,382,815,0.469,0.531
48201454800,412,331,743,0.445,0.555
48375013300,422,175,597,0.293,0.707
48375014100,339,123,462,0.266,0.734
48375014500,662,337,999,0.337,0.663
48375014700,1069,455,1524,0.299,0.701
48201550500,274,244,518,0.471,0.529
48201554700,435,331,766,0.432,0.568
48201555000,293,275,568,0.484,0.516
48201555100,316,323,639,0.505,0.495
48201241000,358,392,750,0.523,0.477
48201522000,159,155,314,0.494,0.506
48085031633,168,210,378,0.556,0.444
48085031634,116,145,261,0.556,0.444
48201550700,178,159,337,0.472,0.528
48201550800,149,117,266,0.44,0.56
48201550900,351,323,674,0.479,0.521
48385950100,3309,1332,4641,0.287,0.713
48201540800,373,320,693,0.462,0.538
48201541100,307,302,609,0.496,0.504
48201551000,122,113,235,0.481,0.519
48389950100,3549,1191,4740,0.251,0.749
48389950200,1477,449,1926,0.233,0.767
48389950300,1013,254,1267,0.2,0.8
48389950400,1489,474,1963,0.241,0.759
48389950500,2532,788,3320,0.237,0.763
48201551100,468,378,846,0.447,0.553
48291700300,940,855,1795,0.476,0.524
48291700400,516,426,942,0.452,0.548
48291700900,418,270,688,0.392,0.608
48291700500,480,459,939,0.489,0.511
48375014800,1117,477,1594,0.299,0.701
48375014900,430,222,652,0.34,0.66
48375015000,525,208,733,0.284,0.716
48375015100,407,183,590,0.31,0.69
48375015200,425,176,601,0.293,0.707
48201551200,495,412,907,0.454,0.546
48201551300,135,131,266,0.492,0.508
48201541300,291,280,571,0.49,0.51
48201541400,411,484,895,0.541,0.459
48201541500,173,195,368,0.53,0.47
48201551400,528,452,980,0.461,0.539
48201551500,682,617,1299,0.475,0.525
48201551600,252,233,485,0.48,0.52
48245001700,687,548,1235,0.444,0.556
48201541700,500,430,930,0.462,0.538
48201541800,329,281,610,0.461,0.539
48099010601,246,367,613,0.599,0.401
48099010702,183,258,441,0.585,0.415
48077030200,2216,718,2934,0.245,0.755
48077030301,2054,973,3027,0.321,0.679
48077030302,3023,1843,4866,0.379,0.621
48291700600,730,655,1385,0.473,0.527
48291701400,1366,1058,2424,0.436,0.564
48291701200,973,717,1690,0.424,0.576
48291700800,852,573,1425,0.402,0.598
48291701000,670,427,1097,0.389,0.611
48291700100,1161,1048,2209,0.474,0.526
48291700200,387,300,687,0.437,0.563
48291701300,1121,771,1892,0.408,0.592
48291700700,208,144,352,0.409,0.591
48291701100,882,552,1434,0.385,0.615
48201541900,252,284,536,0.53,0.47
48201542000,337,368,705,0.522,0.478
48113011602,783,633,1416,0.447,0.553
48113011701,562,466,1028,0.453,0.547
48113011702,682,583,1265,0.461,0.539
48201551800,426,376,802,0.469,0.531
48201551900,141,124,265,0.468,0.532
48201552400,386,347,733,0.473,0.527
48201552500,502,407,909,0.448,0.552
48201532800,120,120,240,0.5,0.5
48201532900,113,113,226,0.5,0.5
48201533000,114,114,228,0.5,0.5
48201542400,524,390,914,0.427,0.573
48201542500,154,102,256,0.398,0.602
48201542600,198,139,337,0.412,0.588
48201542700,411,343,754,0.455,0.545
48201552700,402,312,714,0.437,0.563
48251130205,462,326,788,0.414,0.586
48201533100,291,315,606,0.52,0.48
48201533200,233,257,490,0.524,0.476
48201533300,541,506,1047,0.483,0.517
48201533400,460,436,896,0.487,0.513
48201533500,262,261,523,0.499,0.501
48201533600,194,152,346,0.439,0.561
48271950100,4614,1692,6306,0.268,0.732
48475950200,1407,271,1678,0.162,0.838
48475950100,10047,3131,13178,0.238,0.762
48475950300,1328,259,1587,0.163,0.837
48201542800,281,216,497,0.435,0.565
48201550100,436,256,692,0.37,0.63
48201550200,148,90,238,0.378,0.622
48245001900,446,354,800,0.442,0.558
48245011001,435,336,771,0.436,0.564
48245011002,401,312,713,0.438,0.562
48113012000,416,367,783,0.469,0.531
48113012100,389,354,743,0.476,0.524
48113012204,554,437,991,0.441,0.559
48201552800,679,604,1283,0.471,0.529
48113012206,383,301,684,0.44,0.56
48113012207,643,501,1144,0.438,0.562
48201552900,463,416,879,0.473,0.527
48133950400,1076,609,1685,0.361,0.639
48133950200,2203,1828,4031,0.453,0.547
48133950100,1604,1228,2832,0.434,0.566
48133950300,2586,1910,4496,0.425,0.575
48133950500,1179,1062,2241,0.474,0.526
48201553100,270,270,540,0.5,0.5
48201553300,122,97,219,0.443,0.557
48201553500,221,221,442,0.5,0.5
48201553600,192,207,399,0.519,0.481
48251130208,582,415,997,0.416,0.584
48251131000,776,617,1393,0.443,0.557
48251131100,1005,771,1776,0.434,0.566
48251130409,1693,859,2552,0.337,0.663
48251130800,1693,1165,2858,0.408,0.592
48201534100,399,402,801,0.502,0.498
48439110703,428,324,752,0.431,0.569
48201540100,976,851,1827,0.466,0.534
48245002100,427,408,835,0.489,0.511
48245002200,472,474,946,0.501,0.499
48245002300,338,369,707,0.522,0.478
48245002500,337,274,611,0.448,0.552
48245002600,490,475,965,0.492,0.508
48245005100,385,453,838,0.541,0.459
48245005400,687,551,1238,0.445,0.555
48113011800,665,563,1228,0.458,0.542
48113012208,54,36,90,0.4,0.6
48201553700,240,228,468,0.487,0.513
48201554200,421,325,746,0.436,0.564
48201554600,278,230,508,0.453,0.547
48439113628,257,163,420,0.388,0.612
48439113629,416,269,685,0.393,0.607
48445950300,1373,270,1643,0.164,0.836
48201233200,390,351,741,0.474,0.526
48201233400,340,285,625,0.456,0.544
48201233500,411,390,801,0.487,0.513
48113010703,334,299,633,0.472,0.528
48113010704,425,344,769,0.447,0.553
48201311000,491,540,1031,0.524,0.476
48201311100,482,487,969,0.503,0.497
48201311300,335,356,691,0.515,0.485
48201311400,465,404,869,0.465,0.535
48201233600,388,373,761,0.49,0.51
48201240100,637,440,1077,0.409,0.591
48167720400,247,249,496,0.502,0.498
48167720700,917,819,1736,0.472,0.528
48167720900,638,471,1109,0.425,0.575
48201311500,386,404,790,0.511,0.489
48201311600,83,64,147,0.435,0.565
48201240600,148,119,267,0.446,0.554
48113980100,232,144,376,0.383,0.617
48201252000,742,798,1540,0.518,0.482
48113000605,252,136,388,0.351,0.649
48201311700,517,417,934,0.446,0.554
48201311800,330,284,614,0.463,0.537
48201311900,350,310,660,0.47,0.53
48201312000,176,178,354,0.503,0.497
48183001400,1250,761,2011,0.378,0.622
48307950300,5093,679,5772,0.118,0.882
48381021900,2631,927,3558,0.261,0.739
48307950400,2885,1125,4010,0.281,0.719
48307950500,3208,1016,4224,0.241,0.759
48113016407,325,353,678,0.521,0.479
48183000600,655,445,1100,0.405,0.595
48183010301,274,195,469,0.416,0.584
48183001200,384,251,635,0.395,0.605
48183000200,688,457,1145,0.399,0.601
48183010400,3183,1517,4700,0.323,0.677
48381021702,624,279,903,0.309,0.691
48381021801,1396,571,1967,0.29,0.71
48381020900,316,145,461,0.315,0.685
48381021602,298,126,424,0.297,0.703
48113007101,304,211,515,0.41,0.59
48113018002,232,215,447,0.481,0.519
48113016804,536,445,981,0.454,0.546
48113009105,271,252,523,0.482,0.518
48113012210,173,135,308,0.438,0.562
48113009610,129,58,187,0.31,0.69
48113014121,145,203,348,0.583,0.417
48113013713,48,53,101,0.525,0.475
48113004201,511,408,919,0.444,0.556
48113017001,1896,1456,3352,0.434,0.566
48113017102,735,570,1305,0.437,0.563
48113018124,962,1150,2112,0.545,0.455
48183010600,1263,627,1890,0.332,0.668
48183000900,903,514,1417,0.363,0.637
48183010200,2415,2113,4528,0.467,0.533
48201252100,649,397,1046,0.38,0.62
48201253000,462,282,744,0.379,0.621
48201253300,465,389,854,0.456,0.544
48201253400,751,607,1358,0.447,0.553
48113011105,241,227,468,0.485,0.515
48201312100,102,98,200,0.49,0.51
48201312200,545,514,1059,0.485,0.515
48201312400,389,391,780,0.501,0.499
48113005901,655,554,1209,0.458,0.542
48113006001,259,240,499,0.481,0.519
48113006002,248,231,479,0.482,0.518
48113006200,579,564,1143,0.493,0.507
48167721000,212,160,372,0.43,0.57
48167721100,701,523,1224,0.427,0.573
48113006301,451,403,854,0.472,0.528
48113006302,437,395,832,0.475,0.525
48113006501,368,316,684,0.462,0.538
48113006502,415,314,729,0.431,0.569
48203020200,1184,1061,2245,0.473,0.527
48203020102,1745,1444,3189,0.453,0.547
48203020401,706,566,1272,0.445,0.555
48203020402,922,711,1633,0.435,0.565
48397040200,707,463,1170,0.396,0.604
48397040301,328,393,721,0.545,0.455
48397040302,1179,740,1919,0.386,0.614
48381020100,243,99,342,0.289,0.711
48381020500,543,263,806,0.326,0.674
48383950100,5934,1197,7131,0.168,0.832
48113010801,550,468,1018,0.46,0.54
48113011200,579,571,1150,0.497,0.503
48113011300,571,564,1135,0.497,0.503
48201312500,809,630,1439,0.438,0.562
48201312600,746,666,1412,0.472,0.528
48201241200,266,287,553,0.519,0.481
48113001800,361,169,530,0.319,0.681
48113001900,519,272,791,0.344,0.656
48113002000,521,331,852,0.388,0.612
48113002100,770,352,1122,0.314,0.686
48201241300,810,859,1669,0.515,0.485
48201253500,445,308,753,0.409,0.591
48201253600,659,432,1091,0.396,0.604
48113001202,413,293,706,0.415,0.585
48113001203,135,113,248,0.456,0.544
48113015800,442,385,827,0.466,0.534
48113011900,613,567,1180,0.481,0.519
48113016903,1640,1302,2942,0.443,0.557
48113016617,458,441,899,0.491,0.509
48113008703,277,233,510,0.457,0.543
48113014002,1258,978,2236,0.437,0.563
48201312700,201,192,393,0.489,0.511
48201312800,135,115,250,0.46,0.54
48201312900,181,200,381,0.525,0.475
48201313100,411,291,702,0.415,0.585
48201313200,396,405,801,0.506,0.494
48201313300,184,211,395,0.534,0.466
48113014124,1642,979,2621,0.374,0.626
48113007700,434,389,823,0.473,0.527
48113013711,80,76,156,0.487,0.513
48113014114,76,129,205,0.629,0.371
48113015304,382,413,795,0.519,0.481
48113014703,39,42,81,0.519,0.481
48113016406,231,247,478,0.517,0.483
48113018205,178,258,436,0.592,0.408
48113011500,519,459,978,0.469,0.531
48113005902,285,256,541,0.473,0.527
48201323900,182,182,364,0.5,0.5
48217960400,542,514,1056,0.487,0.513
48217960600,364,386,750,0.515,0.485
48217960500,1468,1476,2944,0.501,0.499
48217960800,521,297,818,0.363,0.637
48217961000,395,231,626,0.369,0.631
48217960700,981,901,1882,0.479,0.521
48217960100,1888,1149,3037,0.378,0.622
48217960900,749,478,1227,0.39,0.61
48217960200,1886,1528,3414,0.448,0.552
48217961100,2279,1785,4064,0.439,0.561
48201324000,578,512,1090,0.47,0.53
48201330100,215,267,482,0.554,0.446
48201330200,171,173,344,0.503,0.497
48201330400,191,217,408,0.532,0.468
48201330500,145,178,323,0.551,0.449
48303002204,636,194,830,0.234,0.766
48303002300,612,236,848,0.278,0.722
48303002400,1327,489,1816,0.269,0.731
48303000302,954,310,1264,0.245,0.755
48303001502,501,204,705,0.289,0.711
48167721300,332,365,697,0.524,0.476
48167721400,417,300,717,0.418,0.582
48113007601,273,260,533,0.488,0.512
48113007604,488,432,920,0.47,0.53
48113007605,277,248,525,0.472,0.528
48113007801,298,218,516,0.422,0.578
48113007804,355,285,640,0.445,0.555
48113007805,310,236,546,0.432,0.568
48303010101,1266,275,1541,0.178,0.822
48303010502,361,140,501,0.279,0.721
48303010504,489,201,690,0.291,0.709
48201330600,303,303,606,0.5,0.5
48201330700,328,327,655,0.499,0.501
48201330800,867,818,1685,0.485,0.515
48303000100,889,334,1223,0.273,0.727
48303000201,961,263,1224,0.215,0.785
48303000202,479,128,607,0.211,0.789
48303000301,303,83,386,0.215,0.785
48303000402,432,178,610,0.292,0.708
48303000403,522,230,752,0.306,0.694
48303000404,620,271,891,0.304,0.696
48439103701,455,347,802,0.433,0.567
48439103800,742,484,1226,0.395,0.605
48113007811,131,108,239,0.452,0.548
48439103702,325,214,539,0.397,0.603
48303002500,1740,505,2245,0.225,0.775
48303010102,414,119,533,0.223,0.777
48303010302,625,267,892,0.299,0.701
48113004700,377,242,619,0.391,0.609
48113004800,504,326,830,0.393,0.607
48113004900,502,446,948,0.47,0.53
48201320500,449,479,928,0.516,0.484
48113005000,408,270,678,0.398,0.602
48113005100,316,258,574,0.449,0.551
48113005200,403,354,757,0.468,0.532
48113002500,955,617,1572,0.392,0.608
48113002702,478,332,810,0.41,0.59
48113019019,156,135,291,0.464,0.536
48025950500,902,951,1853,0.513,0.487
48303010402,357,117,474,0.247,0.753
48303010404,781,294,1075,0.273,0.727
48303010505,460,190,650,0.292,0.708
48201320700,385,333,718,0.464,0.536
48201320800,763,913,1676,0.545,0.455
48201320900,319,376,695,0.541,0.459
48257050206,1958,1179,3137,0.376,0.624
48257050203,751,479,1230,0.389,0.611
48257050704,809,413,1222,0.338,0.662
48201321000,394,417,811,0.514,0.486
48257051202,1082,552,1634,0.338,0.662
48257051201,870,436,1306,0.334,0.666
48257050205,832,482,1314,0.367,0.633
48257050703,335,178,513,0.347,0.653
48303010506,698,213,911,0.234,0.766
48303010600,2663,425,3088,0.138,0.862
48499950500,660,435,1095,0.397,0.603
48499950100,1674,912,2586,0.353,0.647
48201321100,805,742,1547,0.48,0.52
48201321200,153,142,295,0.481,0.519
48201321500,180,159,339,0.469,0.531
48201321600,452,532,984,0.541,0.459
48331950402,1775,869,2644,0.329,0.671
48245011303,413,475,888,0.535,0.465
48303000405,883,329,1212,0.271,0.729
48303000500,618,198,816,0.243,0.757
48303000605,201,57,258,0.221,0.779
48303000607,437,151,588,0.257,0.743
48113005400,674,713,1387,0.514,0.486
48113005500,778,703,1481,0.475,0.525
48113005300,823,753,1576,0.478,0.522
48113005600,563,512,1075,0.476,0.524
48113013624,83,53,136,0.39,0.61
48201330900,446,411,857,0.48,0.52
48201331100,724,633,1357,0.466,0.534
48201331200,309,287,596,0.482,0.518
48201331300,334,335,669,0.501,0.499
48201331400,88,64,152,0.421,0.579
48201331500,338,402,740,0.543,0.457
48113005700,823,696,1519,0.458,0.542
48499950800,1776,790,2566,0.308,0.692
48499950400,1120,562,1682,0.334,0.666
48499950700,1450,672,2122,0.317,0.683
48499950200,793,534,1327,0.402,0.598
48113007815,138,80,218,0.367,0.633
48113007818,125,104,229,0.454,0.546
48113007819,61,47,108,0.435,0.565
48113007902,618,572,1190,0.481,0.519
48303000700,2145,562,2707,0.208,0.792
48201321700,237,265,502,0.528,0.472
48201321900,312,365,677,0.539,0.461
48201322000,128,113,241,0.469,0.531
48201322100,316,295,611,0.483,0.517
48201322200,176,181,357,0.507,0.493
48201331700,252,293,545,0.538,0.462
48201331800,242,236,478,0.494,0.506
48201331900,207,219,426,0.514,0.486
48201332100,181,179,360,0.497,0.503
48201332200,399,415,814,0.51,0.49
48201332400,193,240,433,0.554,0.446
48201332500,207,251,458,0.548,0.452
48113002200,801,430,1231,0.349,0.651
48113002400,623,441,1064,0.414,0.586
48113002701,462,357,819,0.436,0.564
48121021728,155,125,280,0.446,0.554
48303001000,1512,457,1969,0.232,0.768
48279950100,3305,846,4151,0.204,0.796
48279950500,3266,846,4112,0.206,0.794
48279950200,2834,741,3575,0.207,0.793
48279950600,2200,565,2765,0.204,0.796
48279950300,6182,1484,7666,0.194,0.806
48285000300,1024,861,1885,0.457,0.543
48285000500,1186,1106,2292,0.483,0.517
48285000400,1511,1067,2578,0.414,0.586
48285000600,874,716,1590,0.45,0.55
48285000200,1362,957,2319,0.413,0.587
48285000100,1818,1350,3168,0.426,0.574
48483950100,4734,1047,5781,0.181,0.819
48483950300,5290,1035,6325,0.164,0.836
48303001200,685,213,898,0.237,0.763
48303001300,1055,345,1400,0.246,0.754
48303001400,771,290,1061,0.273,0.727
48303001601,353,138,491,0.281,0.719
48303001602,847,336,1183,0.284,0.716
48201322700,300,330,630,0.524,0.476
48201322800,382,399,781,0.511,0.489
48303001702,594,261,855,0.305,0.695
48303001705,649,256,905,0.283,0.717
48089750400,2673,2227,4900,0.454,0.546
48089750100,1517,1341,2858,0.469,0.531
48089750300,1533,1603,3136,0.511,0.489
48089750500,1811,1504,3315,0.454,0.546
48089750200,1343,1311,2654,0.494,0.506
48309002000,472,450,922,0.488,0.512
48309000598,963,1080,2043,0.529,0.471
48113008000,751,699,1450,0.482,0.518
48113008100,825,654,1479,0.442,0.558
48113008200,487,416,903,0.461,0.539
48439103500,1018,712,1730,0.412,0.588
48303001707,562,234,796,0.294,0.706
48303001706,816,278,1094,0.254,0.746
48303001803,628,256,884,0.29,0.71
48087950300,6236,1444,7680,0.188,0.812
48137950300,3856,1315,5171,0.254,0.746
48327950300,3086,644,3730,0.173,0.827
48303001804,409,154,563,0.274,0.726
48303001901,870,414,1284,0.322,0.678
48303001903,743,327,1070,0.306,0.694
48303001904,242,93,335,0.278,0.722
48201322900,278,316,594,0.532,0.468
48201323000,250,208,458,0.454,0.546
48201323100,234,230,464,0.496,0.504
48201323200,248,302,550,0.549,0.451
48201323300,233,206,439,0.469,0.531
48201323400,263,336,599,0.561,0.439
48201323500,180,191,371,0.515,0.485
48201323600,423,417,840,0.496,0.504
48303002001,408,192,600,0.32,0.68
48303002002,459,202,661,0.306,0.694
48303002101,729,292,1021,0.286,0.714
48303002202,541,208,749,0.278,0.722
48303002203,358,132,490,0.269,0.731
48201411700,193,148,341,0.434,0.566
48201411800,374,333,707,0.471,0.529
48201411900,389,395,784,0.504,0.496
48201412000,355,392,747,0.525,0.475
48253020200,1811,270,2081,0.13,0.87
48253020400,3077,527,3604,0.146,0.854
48253020101,1059,326,1385,0.235,0.765
48253020102,54,9,63,0.143,0.857
48253020300,2607,464,3071,0.151,0.849
48253020500,2758,1008,3766,0.268,0.732
48201432400,387,275,662,0.415,0.585
48201432500,249,182,431,0.422,0.578
48201432600,322,204,526,0.388,0.612
48201340500,239,226,465,0.486,0.514
48201340600,134,132,266,0.496,0.504
48201340800,219,211,430,0.491,0.509
48201341000,258,209,467,0.448,0.552
48201412100,107,96,203,0.473,0.527
48201433300,346,347,693,0.501,0.499
48201433100,76,55,131,0.42,0.58
48201433600,361,246,607,0.405,0.595
48201433400,221,166,387,0.429,0.571
48201440100,531,449,980,0.458,0.542
48201450100,75,84,159,0.528,0.472
48201450200,392,366,758,0.483,0.517
48201450300,591,477,1068,0.447,0.553
48201450400,331,259,590,0.439,0.561
48439104602,462,311,773,0.402,0.598
48201450500,430,377,807,0.467,0.533
48201341100,383,223,606,0.368,0.632
48201450600,262,236,498,0.474,0.526
48201450700,396,383,779,0.492,0.508
48201450900,276,227,503,0.451,0.549
48201451100,243,231,474,0.487,0.513
48201451200,162,151,313,0.482,0.518
48201451300,466,397,863,0.46,0.54
48201421500,305,225,530,0.425,0.575
48201421600,252,209,461,0.453,0.547
48201421700,261,264,525,0.503,0.497
48201341800,158,169,327,0.517,0.483
48201451700,130,128,258,0.496,0.504
48201451800,216,202,418,0.483,0.517
48439104604,529,458,987,0.464,0.536
48289950100,1586,1457,3043,0.479,0.521
48289950300,1489,1155,2644,0.437,0.563
48289950200,2525,1730,4255,0.407,0.593
48201421800,212,233,445,0.524,0.476
48201421900,215,264,479,0.551,0.449
48201422100,304,335,639,0.524,0.476
48201422200,181,159,340,0.468,0.532
48201422500,297,277,574,0.483,0.517
48201422600,282,336,618,0.544,0.456
48201342100,416,356,772,0.461,0.539
48201342200,313,299,612,0.489,0.511
48201342300,316,315,631,0.499,0.501
48201342400,228,199,427,0.466,0.534
48439104100,619,459,1078,0.426,0.574
48439104201,489,381,870,0.438,0.562
48439104202,489,402,891,0.451,0.549
48439104300,889,639,1528,0.418,0.582
48439104400,757,561,1318,0.426,0.574
48439104504,455,308,763,0.404,0.596
48439104505,517,359,876,0.41,0.59
48201342500,467,436,903,0.483,0.517
48201342700,307,297,604,0.492,0.508
48201342800,417,384,801,0.479,0.521
48201422800,302,251,553,0.454,0.546
48201422900,266,235,501,0.469,0.531
48201423000,152,138,290,0.476,0.524
48439104601,697,537,1234,0.435,0.565
48201451500,147,120,267,0.449,0.551
48201423100,234,179,413,0.433,0.567
48201343000,293,323,616,0.524,0.476
48201343200,147,160,307,0.521,0.479
48201452000,200,160,360,0.444,0.556
48201452100,327,262,589,0.445,0.555
48201452400,328,313,641,0.488,0.512
48201452500,484,498,982,0.507,0.493
48201452700,386,394,780,0.505,0.495
48201423600,305,351,656,0.535,0.465
48113011401,483,429,912,0.47,0.53
48061013902,238,284,522,0.544,0.456
48061014100,641,909,1550,0.586,0.414
48061010201,323,656,979,0.67,0.33
48201412200,393,430,823,0.522,0.478
48201412300,499,622,1121,0.555,0.445
48029161600,332,455,787,0.578,0.422
48029980003,278,280,558,0.502,0.498
48029170101,373,442,815,0.542,0.458
48201412400,385,479,864,0.554,0.446
48029170200,842,1016,1858,0.547,0.453
48029170300,749,919,1668,0.551,0.449
48029170401,603,786,1389,0.566,0.434
48201332600,452,455,907,0.502,0.498
48201412700,300,312,612,0.51,0.49
48201412800,305,367,672,0.546,0.454
48201412900,373,367,740,0.496,0.504
48201413100,186,225,411,0.547,0.453
48273020100,2746,3950,6696,0.59,0.41
48273020500,701,731,1432,0.51,0.49
48273020400,692,718,1410,0.509,0.491
48273020200,731,758,1489,0.509,0.491
48337950300,1476,747,2223,0.336,0.664
48337950200,1623,1090,2713,0.402,0.598
48337950500,1907,1032,2939,0.351,0.649
48337950100,1893,1374,3267,0.421,0.579
48201430200,56,57,113,0.504,0.496
48201430300,263,302,565,0.535,0.465
48201430400,204,223,427,0.522,0.478
48201430500,296,252,548,0.46,0.54
48201413300,507,552,1059,0.521,0.479
48201420200,152,175,327,0.535,0.465
48201430600,200,227,427,0.532,0.468
48201430700,317,239,556,0.43,0.57
48201430800,517,385,902,0.427,0.573
48201430900,278,309,587,0.526,0.474
48029170402,577,691,1268,0.545,0.455
48201431000,426,438,864,0.507,0.493
48029170500,572,736,1308,0.563,0.437
